iter	Passed	Remaining
0	160	160491
1	169	84790
2	177	58896
3	184	45841
4	191	38081
5	199	33117
6	207	29406
7	214	26624
8	226	24902
9	236	23373
10	245	22062
11	258	21256
12	264	20059
13	273	19237
14	284	18665
15	303	18689
16	338	19575
17	370	20188
18	427	22092
19	469	23010
20	509	23756
21	539	23998
22	572	24299
23	583	23746
24	595	23209
25	607	22751
26	638	23011
27	676	23481
28	699	23420
29	708	22907
30	725	22666
31	742	22464
32	755	22138
33	767	21810
34	777	21440
35	803	21504
36	818	21305
37	832	21086
38	850	20952
39	881	21165
40	906	21193
41	934	21324
42	1006	22408
43	1045	22724
44	1084	23017
45	1109	23020
46	1122	22766
47	1134	22491
48	1146	22259
49	1154	21939
50	1162	21639
51	1169	21323
52	1176	21030
53	1182	20723
54	1190	20459
55	1196	20172
56	1204	19921
57	1215	19736
58	1224	19528
59	1230	19277
60	1237	19045
61	1246	18855
62	1258	18722
63	1267	18531
64	1280	18412
65	1289	18245
66	1305	18183
67	1331	18245
68	1343	18124
69	1356	18024
70	1364	17854
71	1377	17753
72	1385	17588
73	1392	17426
74	1402	17296
75	1412	17176
76	1421	17044
77	1430	16903
78	1439	16777
79	1457	16760
80	1468	16659
81	1487	16648
82	1496	16531
83	1513	16502
84	1529	16467
85	1579	16782
86	1639	17202
87	1693	17550
88	1724	17655
89	1742	17615
90	1770	17689
91	1787	17641
92	1805	17608
93	1811	17460
94	1824	17376
95	1833	17266
96	1852	17241
97	1877	17278
98	1913	17418
99	1937	17440
100	1955	17409
101	1997	17587
102	2018	17579
103	2035	17540
104	2055	17517
105	2089	17622
106	2121	17705
107	2137	17654
108	2168	17723
109	2214	17918
110	2228	17847
111	2258	17909
112	2302	18076
113	2326	18078
114	2362	18179
115	2388	18200
116	2404	18145
117	2412	18028
118	2425	17959
119	2439	17892
120	2457	17849
121	2493	17946
122	2524	18003
123	2535	17915
124	2547	17833
125	2563	17778
126	2575	17706
127	2583	17602
128	2596	17534
129	2605	17438
130	2613	17336
131	2619	17223
132	2625	17115
133	2644	17091
134	2667	17090
135	2676	17005
136	2686	16926
137	2696	16840
138	2705	16756
139	2712	16659
140	2718	16560
141	2724	16461
142	2731	16370
143	2738	16276
144	2744	16185
145	2757	16127
146	2769	16071
147	2777	15991
148	2785	15910
149	2795	15843
150	2805	15772
151	2812	15689
152	2819	15611
153	2829	15544
154	2838	15476
155	2848	15412
156	2862	15370
157	2869	15291
158	2878	15227
159	2885	15146
160	2898	15106
161	2907	15038
162	2913	14959
163	2919	14879
164	2926	14811
165	2932	14735
166	2939	14662
167	2945	14588
168	2958	14548
169	2965	14480
170	2977	14436
171	2987	14381
172	2997	14330
173	3007	14276
174	3016	14219
175	3049	14276
176	3068	14266
177	3081	14228
178	3092	14182
179	3107	14156
180	3119	14116
181	3126	14052
182	3133	13990
183	3139	13922
184	3145	13855
185	3153	13802
186	3159	13736
187	3167	13678
188	3174	13619
189	3182	13569
190	3190	13512
191	3198	13462
192	3209	13421
193	3218	13370
194	3224	13311
195	3235	13272
196	3248	13241
197	3266	13229
198	3279	13201
199	3318	13272
200	3329	13235
201	3338	13188
202	3347	13141
203	3358	13104
204	3370	13069
205	3377	13019
206	3386	12973
207	3401	12952
208	3413	12917
209	3421	12870
210	3432	12835
211	3456	12847
212	3466	12808
213	3472	12754
214	3479	12703
215	3485	12651
216	3492	12602
217	3506	12577
218	3514	12534
219	3520	12482
220	3530	12444
221	3536	12394
222	3543	12348
223	3550	12300
224	3562	12270
225	3568	12222
226	3575	12176
227	3581	12126
228	3587	12077
229	3599	12050
230	3608	12012
231	3617	11974
232	3626	11937
233	3634	11895
234	3641	11853
235	3647	11808
236	3657	11775
237	3674	11763
238	3684	11733
239	3694	11699
240	3705	11671
241	3721	11656
242	3733	11630
243	3743	11597
244	3751	11561
245	3764	11538
246	3774	11508
247	3782	11469
248	3794	11443
249	3805	11416
250	3817	11392
251	3833	11377
252	3855	11383
253	3874	11378
254	3881	11340
255	3889	11304
256	3905	11291
257	3916	11263
258	3925	11231
259	3932	11193
260	3941	11158
261	3947	11118
262	3957	11090
263	3963	11050
264	3970	11011
265	3976	10971
